Code,Subject,         Level,Year,    Total,         DN,         HM,         MT,         AD,         PA,         NG,
  1,IRISH                  ,A,   2023,31480,         3.10,    22.00,    45.80,    23.00,     5.60,     0.40,
  1,IRISH                  ,G,   2023,25127,         3.20,    21.20,    44.10,    22.60,     7.90,     1.00,
  2,ENGLISH                ,A,   2023,56943,         2.70,    18.20,    50.20,    22.60,     5.80,     0.50,
  2,ENGLISH                ,G,   2023,12931,         3.30,    22.20,    43.30,    21.90,     8.00,     1.30,
 83,GAEILGE T1             ,A,   2023, 2634,         4.00,    23.30,    46.10,    22.10,     4.10,     0.50,
 83,GAEILGE T1             ,G,   2023,  142,         4.20,    23.20,    39.40,    23.90,     8.50,     0.70,
  3,MATHEMATICS            ,A,   2023,43095,         4.00,    20.00,    43.50,    25.20,     7.00,     0.30,
  3,MATHEMATICS            ,G,   2023,26548,         3.50,    31.70,    41.30,    14.50,     7.30,     1.70,
  4,HISTORY                ,C,   2023,69001,         3.90,    23.30,    42.70,    22.00,     7.20,     0.90,
  5,GEOGRAPHY              ,C,   2023,59966,         3.70,    26.50,    42.90,    19.40,     7.20,     0.40,
 10,FRENCH                 ,C,   2023,28873,         4.10,    22.40,    36.30,    20.70,    14.70,     1.80,
 11,GERMAN                 ,C,   2023,11209,         4.60,    28.30,    37.20,    18.60,     9.60,     1.70,
 12,SPANISH                ,C,   2023,17160,         4.20,    29.60,    37.50,    17.20,     9.40,     2.10,
 13,ITALIAN                ,C,   2023,  497,         9.50,    18.90,    38.60,    22.10,     9.50,     1.40,
 27,ENGINEERING            ,C,   2023,10245,         3.80,    33.10,    29.70,    16.50,    13.30,     3.60,
 42,BUSINESS STUDIES       ,C,   2023,38544,         3.80,    26.10,    43.00,    17.90,     7.70,     1.50,
 46,MUSIC                  ,C,   2023,10989,         4.60,    38.60,    40.80,    10.60,     4.40,     1.00,
 52,HOME ECONOMICS         ,C,   2023,26764,         3.20,    36.40,    45.70,    11.00,     3.10,     0.70,
 57,SCIENCE                ,C,   2023,65578,         4.00,    27.60,    39.40,    18.70,     8.70,     1.40,
106,CLASSICS               ,C,   2023,  883,         5.80,    32.50,    40.90,    13.70,     5.70,     1.50,
125,APPLIED TECHNOLOGY     ,C,   2023, 6191,         3.80,    25.60,    46.80,    14.70,     6.80,     2.30,
126,WOOD TECHNOLOGY        ,C,   2023,21644,         3.40,    31.00,    51.20,    10.50,     2.40,     1.60,
137,GRAPHICS               ,C,   2023,14379,         4.00,    26.90,    40.60,    16.00,     9.80,     2.60,
220,RELIGIOUS EDUCATION    ,C,   2023,26087,         3.90,    26.80,    48.20,    15.80,     4.60,     0.80,
569,VISUAL ART             ,C,   2023,22278,         3.80,    19.80,    46.30,    26.40,     2.80,     1.00,

