Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
1,IRISH,A,2022,24441,12.7,21,23.8,21.9,14.4,5.2,0.9,0.2
1,IRISH,B,2022,1933,3.4,13,22.6,24.9,17,11.9,5.5,1.7
1,IRISH,G,2022,23520,1,10.6,26.3,28.9,19.3,8.7,3.4,1.9
2,ENGLISH,A,2022,43757,7.2,17.4,28.8,27.2,14.6,3.9,0.7,0.2
2,ENGLISH,G,2022,13484,4.7,16,28.7,27.1,16,5.1,1.4,1
3,MATHEMATICS,A,2022,21265,18.1,19.2,22.6,20.7,12.9,4.8,1.3,0.3
3,MATHEMATICS,B,2022,3290,15,20.6,20.8,17.2,13.3,7.7,4,1.4
3,MATHEMATICS,G,2022,32792,6,19.1,25,21.2,14.7,8.2,4,1.9
4,HISTORY,A,2022,9432,17.3,23,22.2,16.9,11.4,6.2,2.3,0.7
4,HISTORY,G,2022,2632,10.3,18.4,22,23,15.5,6.6,3.3,0.9
5,GEOGRAPHY,A,2022,18496,10.5,19,23.4,23.1,16.7,6.2,1,0.3
5,GEOGRAPHY,G,2022,3370,6.1,19.3,29.5,24.7,13.8,5.4,1,0.1
6,LATIN,A,2022,80,38.8,27.5,16.3,6.3,7.5,1.3,1.3,1.3
8,CLASSICAL STUDIES,A,2022,499,12.2,23.4,24.2,17.4,9.4,5.8,5,2.4
8,CLASSICAL STUDIES,G,2022,27,0,11.1,7.4,18.5,11.1,18.5,18.5,14.8
10,FRENCH,A,2022,15454,14.1,17.9,19.5,20.2,16.4,8.8,2.7,0.4
10,FRENCH,G,2022,5696,1.2,10.2,20.9,24.4,21.1,14.2,5.9,2.2
11,GERMAN,A,2022,6275,15.8,20.4,21.2,18.1,13.8,7.2,3,0.6
11,GERMAN,G,2022,1851,3,13.1,24.9,25.6,17.3,9.5,4.4,2.4
12,SPANISH,A,2022,7104,21.5,20.4,18.2,17.8,12.8,6.6,2.1,0.6
12,SPANISH,G,2022,2436,7.2,23.3,28.6,20.7,11.3,5.9,1.8,1.1
13,ITALIAN,A,2022,461,38.6,23.4,13.7,10.6,8.7,3.3,1.1,0.7
13,ITALIAN,G,2022,80,2.5,8.8,17.5,31.3,21.3,8.8,8.8,1.3
14,ART,A,2022,7716,10.6,25,26.7,20.5,11.5,4.1,1,0.6
14,ART,G,2022,1531,10.3,24.3,29,16.1,8.4,4.2,3.2,4.4
17,DUTCH,A,2022,27,44.4,22.2,14.8,3.7,7.4,0,0,7.4
18,PORTUGUESE,A,2022,131,88.5,7.6,2.3,0,0.8,0,0.8,0
20,APPLIED MATHEMATICS,A,2022,2032,29.3,21.7,17.8,12.2,8.1,5.4,2.7,2.9
20,APPLIED MATHEMATICS,G,2022,90,18.9,13.3,18.9,16.7,10,7.8,8.9,5.6
21,PHYSICS,A,2022,6487,23.7,16.6,14.6,13.4,11.5,9.4,6.1,4.7
21,PHYSICS,G,2022,1280,9.1,14.9,20.6,17.3,14.9,10.9,6.9,5.4
22,CHEMISTRY,A,2022,8481,19.1,18,15.8,14,11.7,9.7,6.4,5.4
22,CHEMISTRY,G,2022,1198,3.5,8.9,18.1,19,18.6,11.3,10.9,9.7
23,PHYSICS & CHEMISTRY,A,2022,369,15.4,14.6,12.2,17.6,16,10,7.3,6.8
23,PHYSICS & CHEMISTRY,G,2022,61,8.2,3.3,9.8,21.3,23,13.1,4.9,16.4
24,AGRICULTURAL SCIENCE,A,2022,6218,5.8,18.3,24.8,23.4,16.6,7.8,2.4,0.9
24,AGRICULTURAL SCIENCE,G,2022,1195,0.8,6.9,22.2,26.9,22.2,12.8,5.4,2.9
25,BIOLOGY,A,2022,28671,17.6,17.4,16.2,16.4,14.8,10.8,5.3,1.5
25,BIOLOGY,G,2022,5409,2.2,11.1,22.8,25,19.8,11.1,5.2,2.8
27,ENGINEERING,A,2022,5354,12.6,21.9,25.2,21.4,12,4.9,1.6,0.4
27,ENGINEERING,G,2022,675,3,13.9,25.5,26.2,15.1,8.4,5.5,2.4
29,CONSTRUCTION STUDIES,A,2022,8792,8.8,21.7,24.8,22.7,13.5,6,1.9,0.7
29,CONSTRUCTION STUDIES,G,2022,1167,0.7,7.5,22.5,27.7,17.6,12.1,6.3,5.7
32,ACCOUNTING,A,2022,5926,19.6,19.4,15.8,13.7,11.5,8.5,6,5.5
32,ACCOUNTING,G,2022,1809,15.5,13.3,13.9,12.4,13.4,10.7,10,11
33,BUSINESS,A,2022,16328,16.3,19.9,17.7,15.6,13.2,9.3,5.7,2.3
33,BUSINESS,G,2022,3129,6.9,16.1,22.3,22.9,16.6,8.5,4.4,2.3
34,ECONOMICS,A,2022,5155,12.1,28.7,26.3,16.6,9.7,4.6,1.5,0.5
34,ECONOMICS,G,2022,575,4.9,25.9,28.2,23,10.8,5.6,1.7,0
39,SWEDISH,A,2022,11,9.1,36.4,27.3,0,27.3,0,0,0
58,JAPANESE,A,2022,219,27.9,21.5,16.4,16.4,9.6,5.5,2.3,0.5
58,JAPANESE,G,2022,52,1.9,3.8,19.2,15.4,23.1,11.5,15.4,9.6
59,ARABIC,A,2022,172,44.8,13.4,9.9,7.6,9.9,6.4,2.9,5.2
59,ARABIC,G,2022,28,39.3,14.3,10.7,3.6,3.6,14.3,3.6,10.7
65,TECHNOLOGY,A,2022,2002,15.6,26.6,24.6,16.6,10.4,3.8,1.8,0.6
65,TECHNOLOGY,G,2022,142,2.8,14.1,22.5,25.4,17.6,12,3.5,2.1
67,MUSIC,A,2022,6234,27.6,39.8,22.1,7.9,1.9,0.4,0.1,0.1
67,MUSIC,G,2022,485,8.9,30.1,30.3,16.5,7.6,3.5,2.1,1
98,HOME ECONOMICS S & S,A,2022,10065,11,21.7,24.7,21.1,13.5,5.9,1.7,0.3
98,HOME ECONOMICS S & S,G,2022,2067,3.5,18.5,28.8,25.2,13.4,7.5,2.6,0.4
99,RUSSIAN,A,2022,407,65.8,19.2,7.6,3.4,2.9,1,0,0
99,RUSSIAN,G,2022,12,50,8.3,16.7,8.3,16.7,0,0,0
219,COMPUTER SCIENCE,A,2022,1382,19.3,21.2,20.5,18.3,11.2,5.6,2.9,0.9
219,COMPUTER SCIENCE,G,2022,222,15.3,23.9,27.9,16.7,9.9,3.2,1.4,1.8
223,RELIGIOUS EDUCATION,A,2022,919,7.8,25.4,29.3,19.5,10.4,4.9,2.1,0.7
