Code,Subject,              Level,Year, Total,         1,        2,        3,        4,        5,        6,        7,        8,
  1,IRISH                  ,A,   2023,23899,        15.70,    21.80,    23.70,    21.10,    12.80,     4.10,     0.70,     0.10,
  1,IRISH                  ,B,   2023, 2408,         4.20,    12.70,    21.10,    24.00,    19.00,    11.70,     5.80,     1.50,
  1,IRISH                  ,G,   2023,22851,         2.30,    13.50,    24.60,    25.40,    18.30,     9.70,     4.30,     1.80,
  2,ENGLISH                ,A,   2023,43275,         7.50,    17.90,    29.00,    27.50,    14.30,     3.00,     0.50,     0.20,
  2,ENGLISH                ,G,   2023,13998,         4.20,    16.70,    29.60,    26.60,    14.60,     5.70,     1.40,     1.20,
  3,MATHEMATICS            ,A,   2023,20516,        11.20,    16.70,    21.90,    23.00,    16.60,     7.70,     2.30,     0.50,
  3,MATHEMATICS            ,B,   2023, 3612,         9.80,    20.20,    24.90,    22.10,    14.60,     5.60,     2.20,     0.70,
  3,MATHEMATICS            ,G,   2023,33220,         9.20,    23.90,    25.30,    18.60,    11.50,     6.30,     3.30,     2.00,
  4,HISTORY                ,A,   2023, 9503,        15.50,    19.00,    21.90,    19.20,    14.30,     7.20,     2.40,     0.60,
  4,HISTORY                ,G,   2023, 3006,         8.30,    16.00,    21.70,    25.10,    19.50,     6.00,     2.40,     0.90,
  5,GEOGRAPHY              ,A,   2023,16889,        12.90,    19.20,    23.60,    21.80,    15.80,     5.60,     0.90,     0.20,
  5,GEOGRAPHY              ,G,   2023, 3531,         4.60,    13.70,    29.00,    28.00,    15.80,     6.30,     2.10,     0.50,
  6,LATIN                  ,A,   2023,   48,        37.50,    25.00,    20.80,     6.30,     2.10,     4.20,     2.10,     2.10,
  7,ANCIENT GREEK          ,A,   2023,   11,        36.40,    18.20,    36.40,     0.00,     9.10,     0.00,     0.00,     0.00,
  8,CLASSICAL STUDIES      ,A,   2023,  566,        17.30,    23.30,    27.60,    17.10,     6.70,     5.50,     2.10,     0.40,
  8,CLASSICAL STUDIES      ,G,   2023,   44,        18.20,     9.10,    43.20,     9.10,    13.60,     4.50,     2.30,     0.00,
 10,FRENCH                 ,A,   2023,14701,        15.80,    19.20,    20.80,    20.00,    15.40,     6.80,     1.80,     0.30,
 10,FRENCH                 ,G,   2023, 5130,         2.60,    11.20,    21.70,    24.80,    21.10,    12.80,     4.50,     1.30,
 11,GERMAN                 ,A,   2023, 6129,        14.80,    15.20,    17.60,    19.80,    17.70,    10.20,     3.80,     0.80,
 11,GERMAN                 ,G,   2023, 1729,         3.50,    13.60,    26.00,    24.90,    16.80,     8.60,     4.20,     2.30,
 12,SPANISH                ,A,   2023, 7574,        17.60,    19.00,    19.30,    19.70,    14.80,     7.10,     2.00,     0.40,
 12,SPANISH                ,G,   2023, 2520,         5.00,    20.90,    28.80,    21.40,    12.70,     6.50,     3.30,     1.30,
