Code,Subject,              Level,Year, Total,         1,        2,        3,        4,        5,        6,        7,        8,
  1,IRISH                  ,A,   2024,23647,        14.50,    19.80,    23.60,    22.40,    14.10,     4.60,     0.90,     0.20,
  1,IRISH                  ,B,   2024, 2081,         3.80,    11.00,    22.20,    26.20,    19.80,    10.70,     5.20,     1.10,
  1,IRISH                  ,G,   2024,21414,         1.50,     9.70,    22.40,    25.80,    20.10,    12.10,     5.90,     2.50,
  2,ENGLISH                ,A,   2024,42727,         7.00,    17.60,    29.40,    28.20,    13.50,     3.60,     0.50,     0.20,
  2,ENGLISH                ,G,   2024,13246,         4.10,    15.70,    30.20,    25.20,    13.80,     7.70,     1.40,     1.90,
  3,MATHEMATICS            ,A,   2024,20329,        12.90,    15.80,    20.50,    22.40,    17.30,     7.80,     2.50,     0.80,
  3,MATHEMATICS            ,B,   2024, 3332,        11.60,    20.80,    26.60,    20.00,    12.00,     5.90,     2.30,     0.90,
  3,MATHEMATICS            ,G,   2024,32361,         9.80,    19.30,    23.80,    21.20,    13.70,     7.30,     3.50,     1.50,
  4,HISTORY                ,A,   2024, 9572,        14.70,    19.10,    23.10,    19.40,    14.10,     6.80,     2.30,     0.50,
  4,HISTORY                ,G,   2024, 2839,         5.20,    11.80,    20.30,    26.80,    22.20,     8.60,     4.30,     0.70,
  5,GEOGRAPHY              ,A,   2024,15686,        11.60,    19.60,    24.70,    23.10,    14.60,     5.20,     1.00,     0.20,
  5,GEOGRAPHY              ,G,   2024, 2964,         4.80,    12.00,    23.90,    28.80,    19.40,     8.10,     2.70,     0.40,
  6,LATIN                  ,A,   2024,   61,        34.40,    24.60,     8.20,    11.50,    13.10,     6.60,     0.00,     1.60,
  7,ANCIENT GREEK          ,A,   2024,   17,        29.40,     5.90,    52.90,     5.90,     5.90,     0.00,     0.00,     0.00,
  8,CLASSICAL STUDIES      ,A,   2024,  628,        17.20,    25.60,    20.40,    17.40,    10.70,     5.70,     1.80,     1.30,
  8,CLASSICAL STUDIES      ,G,   2024,   50,         8.00,    14.00,    16.00,    14.00,    20.00,    12.00,    10.00,     6.00,
 10,FRENCH                 ,A,   2024,13317,        16.60,    18.30,    21.50,    20.70,    14.30,     6.50,     1.80,     0.20,
 10,FRENCH                 ,G,   2024, 4633,         1.70,    13.40,    26.00,    26.10,    19.10,     9.30,     3.20,     1.00,
 11,GERMAN                 ,A,   2024, 5484,        16.10,    16.50,    17.70,    19.20,    17.10,     9.60,     3.10,     0.70,
 11,GERMAN                 ,G,   2024, 1549,         2.30,    13.60,    25.50,    27.40,    17.60,     8.10,     3.60,     1.80,
 12,SPANISH                ,A,   2024, 7977,        15.90,    16.60,    19.00,    21.00,    16.50,     8.20,     2.30,     0.50,
 12,SPANISH                ,G,   2024, 2331,         3.10,    15.20,    26.90,    26.30,    15.20,     8.40,     3.50,     1.30,
 13,ITALIAN                ,A,   2024,  457,        45.10,    18.60,    13.30,     9.40,     8.10,     3.50,     1.50,     0.40,
 13,ITALIAN                ,G,   2024,   62,         3.20,    22.60,    21.00,    37.10,     8.10,     4.80,     0.00,     3.20,
 14,ART                    ,A,   2024, 8450,        15.00,    24.90,    25.90,    20.10,     9.70,     3.10,     0.60,     0.70,
 14,ART                    ,G,   2024, 1408,         8.50,    27.60,    33.00,    13.40,     6.70,     4.00,     2.00,     4.80,
 17,DUTCH                  ,A,   2024,   34,        23.50,    35.30,    11.80,    11.80,     2.90,     2.90,     2.90,     8.80,
 18,PORTUGUESE             ,A,   2024,  276,        69.60,    18.80,     3.60,     4.00,     1.10,     2.20,     0.70,     0.00,
 19,MODERN GREEK           ,A,   2024,   12,        41.70,    16.70,     8.30,    25.00,     0.00,     8.30,     0.00,     0.00,
 20,APPLIED MATHEMATICS    ,A,   2024, 1710,        28.80,    24.70,    19.40,    13.20,     8.20,     3.50,     1.60,     0.60,
 20,APPLIED MATHEMATICS    ,G,   2024,   33,        21.20,     9.10,    18.20,    18.20,    15.20,     9.10,     6.10,     3.00,
 21,PHYSICS                ,A,   2024, 6009,        21.20,    16.60,    14.00,    14.00,    13.60,    11.50,     5.80,     3.30,
