Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
1,IRISH                  ,A,2025,24053,11,21.4,24.3,23.3,14.3,4.7,0.8,0.2
1,IRISH                  ,B,2025,2307,3.3,10.7,20,27.5,20.1,11.7,5.4,1.3
1,IRISH                  ,G,2025,23661,0.8,7.9,19.9,27.5,23.7,12.7,5.2,2.3
2,ENGLISH                ,A,2025,46193,5,15.2,28.9,30.5,15.3,4,0.8,0.2
2,ENGLISH                ,G,2025,13853,2.6,12.3,29.1,29.1,15,6.7,2.9,2.2
3,MATHEMATICS            ,A,2025,23450,11,16.3,19.3,20.3,17.7,10,4.1,1.3
3,MATHEMATICS            ,B,2025,3385,8.2,17.9,26.1,23.7,13.9,6.5,2.8,0.9
3,MATHEMATICS            ,G,2025,33364,6,18.1,22.9,21.8,15.5,8.6,4.7,2.4
4,HISTORY                ,A,2025,9849,12.9,18.8,22.1,20.7,13.3,8.2,2.9,1
4,HISTORY                ,G,2025,2669,3.5,10,19,27.1,23.8,10.2,5.1,1.4
5,GEOGRAPHY              ,A,2025,18207,8.3,17.6,21.7,22,17.9,9.5,2.5,0.6
5,GEOGRAPHY              ,G,2025,3396,3.9,14.2,26.2,29.6,15.8,7.5,2.1,0.7
6,LATIN                  ,A,2025,63,33.3,25.4,14.3,14.3,3.2,7.9,1.6,0
8,CLASSICAL STUDIES      ,A,2025,684,8.6,28.9,30.3,17.4,8.8,4.2,1.3,0.4
8,CLASSICAL STUDIES      ,G,2025,51,15.7,19.6,15.7,15.7,17.6,7.8,5.9,2
10,FRENCH                 ,A,2025,14124,12.4,17.2,19.6,21.5,18.3,8.6,2.3,0.3
10,FRENCH                 ,G,2025,4016,0.9,8.4,21.2,30.4,23.4,10.6,3.8,1.4
11,GERMAN                 ,A,2025,5575,13.7,17.9,18.3,18.9,16.3,10.2,4,0.7
11,GERMAN                 ,G,2025,1287,2,11.5,25.6,27.4,19.2,10.1,2.6,1.7
12,SPANISH                ,A,2025,9348,13.3,15.8,18.7,20.9,17.7,9.5,3.3,0.8
12,SPANISH                ,G,2025,2315,2.3,15.2,24.3,25.1,16.5,10.8,3.7,2.1
13,ITALIAN                ,A,2025,506,39.9,21.9,12.1,11.7,8.9,3.2,1.4,1
13,ITALIAN                ,G,2025,63,6.3,14.3,22.2,27,15.9,6.3,7.9,0
14,ART                    ,A,2025,8996,12.8,26.5,27.7,19.9,9.1,2.7,0.6,0.6
14,ART                    ,G,2025,1374,12.7,31.3,29.5,12.5,4.4,3,1.9,4.7
17,DUTCH                  ,A,2025,26,11.5,26.9,15.4,11.5,15.4,0,11.5,7.7
18,PORTUGUESE             ,A,2025,281,54.8,19.6,12.1,3.2,3.9,0.7,5,0.7
19,MODERN GREEK           ,A,2025,13,15.4,38.5,23.1,15.4,0,7.7,0,0
20,APPLIED MATHEMATICS    ,A,2025,1861,25.4,24.4,16.9,15.2,9.8,5.6,2,0.5
20,APPLIED MATHEMATICS    ,G,2025,34,5.9,14.7,17.6,17.6,17.6,8.8,8.8,8.8
21,PHYSICS                ,A,2025,6592,18.8,17.5,15.4,14.4,13,10,6.8,4.1
21,PHYSICS                ,G,2025,1154,5.5,18.1,19.2,20.1,13.9,9.3,6.3,7.6
22,CHEMISTRY              ,A,2025,8577,17.8,17.3,14.7,13.2,12.2,10.5,7.7,6.7
22,CHEMISTRY              ,G,2025,1420,3.7,11.4,20.2,20.6,16.3,12.7,6.8,8.3
23,PHYSICS & CHEMISTRY    ,A,2025,292,15.4,13.7,12.3,17.1,15.8,11.6,8.9,5.1
23,PHYSICS & CHEMISTRY    ,G,2025,64,4.7,4.7,12.5,12.5,21.9,15.6,15.6,12.5
24,AGRICULTURAL SCIENCE   ,A,2025,6237,8.9,23.9,26.5,20.7,11.8,5.9,1.8,0.5
24,AGRICULTURAL SCIENCE   ,G,2025,821,0.4,6.9,25,31.9,22.3,8.4,3.5,1.6
25,BIOLOGY                ,A,2025,30650,15.7,17,16.3,14.7,13.1,11,7.5,4.7
25,BIOLOGY                ,G,2025,5283,2,11,25.2,27.8,19,9.3,3.9,1.9
27,ENGINEERING            ,A,2025,6148,11.6,23,25.9,21.9,11.8,3.9,1.3,0.6
27,ENGINEERING            ,G,2025,653,1.7,11.5,24.5,26.5,16.8,9.2,5.5,4.3
29,CONSTRUCTION STUDIES   ,A,2025,11027,7.1,22.3,26.5,22.5,13.8,5.4,1.7,0.7
29,CONSTRUCTION STUDIES   ,G,2025,964,0.4,5.5,19.6,30.3,19.8,11,6.6,6.7
32,ACCOUNTING             ,A,2025,4829,18,21.6,15.8,13.3,11,8.2,6.6,5.5
32,ACCOUNTING             ,G,2025,1705,14.4,14.9,13.5,11,10.7,11.3,8.3,15.8
33,BUSINESS               ,A,2025,17115,9.7,17.6,16.9,15.5,15.4,13.3,8.3,3.4
33,BUSINESS               ,G,2025,3127,4.9,15.5,20.1,23.1,16.7,10.8,5.3,3.4
34,ECONOMICS              ,A,2025,4399,8.1,24.8,24.8,19.7,12.3,6.7,2.6,0.9
34,ECONOMICS              ,G,2025,501,2.2,16.2,30.3,24.8,14,7.8,2.2,2.6
39,SWEDISH                ,A,2025,29,0,24.1,24.1,17.2,10.3,13.8,6.9,3.4
58,JAPANESE               ,A,2025,224,32.1,17.4,13.4,12.1,13.8,6.7,3.6,0.9
58,JAPANESE               ,G,2025,39,0,10.3,25.6,15.4,23.1,15.4,5.1,5.1
59,ARABIC                 ,A,2025,303,38,29,13.9,7.9,4,4,0.3,3
59,ARABIC                 ,G,2025,35,14.3,25.7,20,14.3,2.9,11.4,0,11.4
65,TECHNOLOGY             ,A,2025,2384,12.4,19.3,23.5,19.7,14.3,6.4,2.8,1.6
65,TECHNOLOGY             ,G,2025,149,3.4,14.8,20.1,18.8,11.4,18.1,10.1,3.4
67,MUSIC                  ,A,2025,7328,14.8,38.9,27.2,13.6,4,1.1,0.2,0.1
67,MUSIC                  ,G,2025,549,1.5,19.1,36.2,22.2,10.6,5.5,3.8,1.1
98,HOME ECONOMICS S & S   ,A,2025,9285,10.7,21.8,22.2,20.3,15.3,7.2,1.9,0.6
98,HOME ECONOMICS S & S   ,G,2025,1972,3.6,15,28.1,25.3,17.3,6.4,3,1.3
99,RUSSIAN                ,A,2025,1035,70,13.9,7.3,5.1,2,0.9,0.2,0.5
99,RUSSIAN                ,G,2025,27,14.8,18.5,22.2,22.2,18.5,0,0,3.7
219,COMPUTER SCIENCE       ,A,2025,3083,10.8,19.9,20.3,20.5,14.2,9.1,3.3,1.9
219,COMPUTER SCIENCE       ,G,2025,432,8.1,19.7,19.9,20.8,14.4,8.6,4.4,4.2
223,RELIGIOUS EDUCATION    ,A,2025,1188,6.8,24,27.7,20.8,12.5,5.6,1.3,1.3
223,RELIGIOUS EDUCATION    ,G,2025,159,1.9,6.9,11.9,24.5,19.5,19.5,10.1,5.7
225,PHYSICAL EDUCATION     ,A,2025,8899,7.7,28.5,29.3,19.7,9,3.9,1.2,0.6
225,PHYSICAL EDUCATION     ,G,2025,637,1.4,15.1,26.7,23.7,13,9.1,7.2,3.8
